"Date","Price","Open","High","Low","Vol.","Change %"
"10/12/2021","28.03","28.14","28.25","27.61","3.45M","-0.67%"
"10/11/2021","28.22","28.55","29.00","28.09","3.84M","-0.95%"
"10/08/2021","28.49","28.82","28.90","27.97","3.74M","-1.01%"
"10/07/2021","28.78","28.18","29.29","28.13","6.84M","5.07%"
"10/06/2021","27.39","26.34","27.63","26.31","5.49M","1.48%"
"10/05/2021","26.99","25.59","27.31","25.59","5.73M","5.51%"
"10/04/2021","25.58","26.31","26.31","25.42","3.44M","-2.70%"
"10/01/2021","26.29","26.90","26.96","26.18","3.46M","0.00%"
"09/30/2021","26.29","25.89","26.65","25.80","4.44M","2.18%"
"09/29/2021","25.73","26.42","26.88","25.55","5.16M","-1.53%"
"09/28/2021","26.13","26.75","26.91","25.78","4.34M","-2.90%"
"09/27/2021","26.91","26.17","27.02","25.40","6.03M","3.06%"
"09/24/2021","26.11","27.00","27.10","26.01","5.24M","-4.25%"
"09/23/2021","27.27","27.78","27.91","26.74","4.11M","-0.15%"
"09/22/2021","27.31","27.18","28.09","27.16","3.93M","0.92%"
"09/21/2021","27.06","27.17","27.59","26.74","3.61M","0.56%"
"09/20/2021","26.91","27.81","27.87","26.51","7.85M","-7.49%"
"09/17/2021","29.09","29.10","29.21","28.59","8.81M","0.73%"
"09/16/2021","28.88","29.15","29.15","28.53","5.92M","-2.89%"
"09/15/2021","29.74","29.76","30.07","29.27","5.50M","-0.23%"
"09/14/2021","29.81","29.70","30.45","29.44","6.41M","0.78%"
"09/13/2021","29.58","30.20","30.28","28.63","6.06M","-2.02%"
"09/10/2021","30.19","30.56","31.63","30.14","7.40M","-1.40%"
"09/09/2021","30.62","29.92","30.70","29.50","5.15M","1.32%"
"09/08/2021","30.22","30.80","30.84","29.86","6.43M","-2.48%"
"09/07/2021","30.99","30.80","31.31","30.55","7.98M","2.34%"
"09/03/2021","30.28","30.79","31.10","30.10","8.34M","-2.95%"
"09/02/2021","31.20","30.58","31.77","30.47","8.41M","2.40%"
"09/01/2021","30.47","30.89","31.67","30.09","11.97M","-1.26%"
"08/31/2021","30.86","29.29","30.93","29.16","10.19M","6.30%"
"08/30/2021","29.03","29.87","29.91","27.72","9.40M","-1.06%"
"08/27/2021","29.34","29.82","29.85","29.23","5.66M","-0.95%"
"08/26/2021","29.62","30.14","30.95","29.34","5.72M","-3.33%"
"08/25/2021","30.64","30.25","30.79","29.79","7.93M","0.59%"
"08/24/2021","30.46","29.56","30.51","29.52","10.77M","4.32%"
"08/23/2021","29.20","28.80","29.33","28.50","7.13M","2.24%"
"08/20/2021","28.56","27.96","29.52","27.93","9.55M","3.70%"
"08/19/2021","27.54","28.01","28.64","27.45","6.33M","-3.40%"
"08/18/2021","28.51","28.32","29.12","27.99","8.55M","1.71%"
"08/17/2021","28.03","27.29","28.46","26.91","10.37M","1.34%"
"08/16/2021","27.66","27.90","28.11","27.21","10.29M","-3.49%"
"08/13/2021","28.66","29.60","29.75","28.55","9.42M","-4.82%"
"08/12/2021","30.11","30.27","30.92","29.09","17.00M","-1.99%"
"08/11/2021","30.72","30.33","30.99","29.88","8.91M","1.09%"
"08/10/2021","30.39","31.08","31.29","30.35","6.16M","-0.95%"
"08/09/2021","30.68","30.48","31.07","30.20","8.37M","1.09%"
"08/06/2021","30.35","31.10","31.55","29.97","12.10M","-3.19%"
"08/05/2021","31.35","32.27","32.30","31.12","11.40M","-4.10%"
"08/04/2021","32.69","32.97","33.60","32.28","7.23M","0.46%"
"08/03/2021","32.54","32.74","33.09","31.61","9.73M","-3.38%"
"08/02/2021","33.68","34.77","35.44","33.52","20.53M","0.87%"
"07/30/2021","33.39","30.14","34.55","29.90","27.41M","8.90%"
"07/29/2021","30.66","31.20","31.40","29.87","12.54M","0.07%"
"07/28/2021","30.64","28.35","30.69","28.01","21.09M","15.71%"
"07/27/2021","26.48","29.90","30.45","26.22","24.57M","-13.94%"
"07/26/2021","30.77","29.23","31.58","28.85","12.90M","1.62%"
"07/23/2021","30.28","31.44","31.70","29.20","19.08M","-8.05%"
"07/22/2021","32.93","33.26","33.60","32.42","5.17M","-1.44%"
"07/21/2021","33.41","31.39","34.22","31.38","15.90M","8.72%"
"07/20/2021","30.73","30.61","30.85","29.91","5.35M","0.62%"
"07/19/2021","30.54","29.18","30.61","28.67","7.81M","0.73%"
"07/16/2021","30.32","30.96","31.21","29.87","6.60M","-2.13%"
"07/15/2021","30.98","30.43","31.89","29.50","10.71M","2.14%"
"07/14/2021","30.33","32.27","32.50","30.04","10.84M","-6.73%"
"07/13/2021","32.52","32.65","33.09","31.99","6.67M","-0.88%"
"07/12/2021","32.81","32.36","33.51","31.77","9.07M","3.11%"
"07/09/2021","31.82","32.50","32.60","30.80","9.48M","0.09%"
"07/08/2021","31.79","30.02","32.07","29.85","13.32M","-0.75%"
"07/07/2021","32.03","33.52","34.47","31.28","14.26M","-4.62%"
"07/06/2021","33.58","31.05","33.98","31.03","14.94M","2.79%"
"07/02/2021","32.67","35.01","35.82","31.00","24.84M","-5.82%"
"07/01/2021","34.69","35.55","36.66","34.22","17.53M","-0.72%"
"06/30/2021","34.94","34.00","35.27","34.00","13.07M","2.01%"
"06/29/2021","34.25","33.76","34.28","32.66","12.96M","1.60%"
"06/28/2021","33.71","32.06","33.99","31.96","21.74M","6.41%"
"06/25/2021","31.68","30.90","31.83","30.51","12.24M","3.26%"
"06/24/2021","30.68","31.49","31.49","30.30","9.61M","-1.60%"
"06/23/2021","31.18","29.95","31.29","29.88","13.27M","7.78%"
